R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_REV;B_REV;R_CTRL;B_CTRL;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Rodolfo Vieira;Armen Petrosyan;0;0;6 of 11;9 of 20;54%;45%;14 of 21;14 of 25;3 of 3;0 of 0;100%;---;1;0;0;0;2:46;0:00;4 of 6;1 of 10;0 of 2;1 of 3;2 of 3;7 of 7;6 of 11;9 of 20;0 of 0;0 of 0;0 of 0;0 of 0;Submission;1;4:48;3 Rnd (5-5-5);Mark Smith;February 10, 2024;Las Vegas, Nevada, USA;Middleweight Bout;Rodolfo Vieira
Brad Tavares;Gregory Rodrigues;0;0;37 of 84;71 of 123;44%;57%;42 of 90;79 of 135;0 of 0;2 of 6;---;33%;0;0;0;0;0:00;3:18;28 of 70;53 of 102;4 of 9;8 of 9;5 of 5;10 of 12;36 of 83;64 of 114;1 of 1;7 of 9;0 of 0;0 of 0;KO/TKO;3;0:55;3 Rnd (5-5-5);Jason Herzog;February 10, 2024;Las Vegas, Nevada, USA;Middleweight Bout;Gregory Rodrigues
Dan Ige;Andre Fili;1;0;11 of 19;8 of 33;57%;24%;11 of 19;8 of 33;0 of 0;0 of 0;---;---;0;0;0;0;0:01;0:00;4 of 11;7 of 28;2 of 3;1 of 5;5 of 5;0 of 0;10 of 18;8 of 33;0 of 0;0 of 0;1 of 1;0 of 0;KO/TKO;1;2:43;3 Rnd (5-5-5);Jason Herzog;February 10, 2024;Las Vegas, Nevada, USA;Featherweight Bout;Dan Ige
Jack Hermansson;Joe Pyfer;0;0;121 of 235;92 of 250;51%;36%;188 of 327;95 of 254;1 of 2;0 of 6;50%;0%;0;0;0;0;3:08;0:50;74 of 174;56 of 196;15 of 23;25 of 34;32 of 38;11 of 20;111 of 219;92 of 250;5 of 6;0 of 0;5 of 10;0 of 0;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Mark Smith;February 10, 2024;Las Vegas, Nevada, USA;Middleweight Bout;Jack Hermansson
Bolaji Oki;Timmy Cuamba;0;0;60 of 152;33 of 94;39%;35%;61 of 157;35 of 96;1 of 1;1 of 6;100%;16%;0;0;0;0;1:49;1:55;51 of 139;20 of 67;5 of 8;8 of 14;4 of 5;5 of 13;58 of 145;26 of 86;1 of 4;5 of 6;1 of 3;2 of 2;Decision - Split;3;5:00;3 Rnd (5-5-5);Chris Tognoni;February 10, 2024;Las Vegas, Nevada, USA;Lightweight Bout;Bolaji Oki
Robert Bryczek;Ihor Potieria;0;1;32 of 133;67 of 168;24%;39%;41 of 143;77 of 181;0 of 0;0 of 4;---;0%;0;0;0;0;0:30;2:37;19 of 103;47 of 139;10 of 24;5 of 12;3 of 6;15 of 17;30 of 127;61 of 156;2 of 6;6 of 12;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mike Beltran;February 10, 2024;Las Vegas, Nevada, USA;Middleweight Bout;Ihor Potieria
Michael Johnson;Darrius Flowers;0;0;61 of 112;33 of 64;54%;51%;80 of 138;52 of 86;4 of 8;0 of 2;50%;0%;0;0;0;0;6:02;0:43;16 of 47;10 of 31;36 of 52;9 of 12;9 of 13;14 of 21;58 of 109;29 of 60;0 of 0;1 of 1;3 of 3;3 of 3;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;February 10, 2024;Las Vegas, Nevada, USA;Lightweight Bout;Michael Johnson
Trevin Giles;Carlos Prates;0;1;68 of 102;37 of 72;66%;51%;70 of 105;38 of 73;0 of 2;0 of 0;0%;---;0;0;0;0;1:28;0:00;25 of 51;3 of 24;2 of 2;18 of 26;41 of 49;16 of 22;67 of 100;37 of 72;1 of 2;0 of 0;0 of 0;0 of 0;KO/TKO;2;4:03;3 Rnd (5-5-5);Mike Beltran;February 10, 2024;Las Vegas, Nevada, USA;Welterweight Bout;Carlos Prates
Loma Lookboonmee;Bruna Brasil;0;0;58 of 112;28 of 63;51%;44%;73 of 131;52 of 99;1 of 2;1 of 2;50%;50%;0;0;0;0;0:55;2:29;15 of 52;9 of 39;29 of 38;12 of 16;14 of 22;7 of 8;47 of 98;22 of 55;11 of 14;6 of 8;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Jason Herzog;February 10, 2024;Las Vegas, Nevada, USA;Women's Strawweight Bout;Loma Lookboonmee
Devin Clark;Marcin Prachnio;0;0;53 of 127;101 of 189;41%;53%;53 of 127;112 of 204;0 of 2;1 of 1;0%;100%;0;0;0;0;0:14;0:44;36 of 106;42 of 113;13 of 16;37 of 51;4 of 5;22 of 25;49 of 120;78 of 156;4 of 7;23 of 33;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;February 10, 2024;Las Vegas, Nevada, USA;Light Heavyweight Bout;Marcin Prachnio
