fighter,Weight Division,Gender,Image URL
 Alatengheili,135,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
 Aoriqileng,125,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
 Aoriqileng,135,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
 Maheshate,155,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
 Mizuki,115,0,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
 Rongzhu,155,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
 Sumudaerji,135,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
 Sumudaerji,125,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
 Wulijiburen,135,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
 Wulijiburen,145,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
AJ Dobson,185,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-02/52c46833-d01d-4fe6-9885-840013701587%252FDOBSON_AJ_L_02-12.png?itok=c5QG_M6Y
AJ Fletcher,170,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/cd405587-3f1f-404f-bce9-1d2713b05a6d%252FFLETCHER_AJ_L_03-12.png?itok=0mUNTgR2
Aalon Cruz,155,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-02/CRUZ_AALON_L.png?itok=qvNISHf-
Aalon Cruz,145,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-02/CRUZ_AALON_L.png?itok=qvNISHf-
Aaron Phillips,145,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-04/PHILLIPS_AARON_L_04-15.png?itok=AGyUbB7y
Aaron Phillips,135,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-04/PHILLIPS_AARON_L_04-15.png?itok=AGyUbB7y
Aaron Riley,155,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Aaron Riley,170,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Aaron Rosa,265,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Aaron Rosa,205,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Aaron Simpson,185,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Aaron Simpson,170,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Aaron Wilkinson,155,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Abdul Razak Alhassan,185,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/ALHASSAN_ABDUL_L_01-14.png?itok=nTvxSdJl
Abdul Razak Alhassan,170,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/ALHASSAN_ABDUL_L_01-14.png?itok=nTvxSdJl
Abdul-Kerim Edilov,205,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67131/profile-galery/fullbodyleft-picture/abdul-kerim-edilov_572276_LeftFullBodyImage.png?VersionId=tu.SDql2VZDWJgzKg.kgkmMtCW2vqtSG&itok=aX6OQM5o
Abel Trujillo,155,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Abel-Trujillo_287176_LeftFullBodyImage.png?itok=RAMVJ4xz
Abner Lloveras,155,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Abner-Lloveras_572781_RightFullBodyImage.png?itok=hcEUprAB
Abu Azaitar,185,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-10/AZAITAR_ABU_L_10-21.png?itok=uYsiRlaS
Abubakar Nurmagomedov,170,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-10/NURMAGOMEDOV_ABUBAKAR_L_10-22.png?itok=iYDCRl84
Abus Magomedov,185,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-11/MAGOMEDOV_ABUS_L_07-01.png?itok=YlhgORFF
Adam Cella,185,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
Adam Fugitt,170,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-08/FUGITT_ADAM_L_07-30.png?itok=R9N9rLgo
Adam Milstead,205,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Adam_Milstead/MILSTEAD_ADAM_L.png?itok=w_erpIzo
Adam Milstead,265,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/Adam_Milstead/MILSTEAD_ADAM_L.png?itok=w_erpIzo
Adam Wieczorek,265,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67147/profile-galery/fullbodyleft-picture/Adam-Wieczorek_629280_LeftFullBodyImage.png?VersionId=97mOpL1Tn54FImsVO59lTWaPWiB.8t7_&itok=tRQDOgOp
Adam Yandiev,185,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2018-10/YANDIEV_ADAM_L_0.png?VersionId=_w8WKW.3cg0vTURSkc6QgEO3Dggcc_mP&itok=jlIhCorc
Adlan Amagov,170,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67151/profile-galery/fullbodyleft-picture/Adlan-Amagov_242025_LeftFullBodyImage.png?VersionId=K9XOpIQD6YOiC_x6vRThCH756JI2QeXT&itok=pvlJuEPs
Adrian Yanez,135,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/YANEZ_ADRIAN_L_04-08.png?itok=K2DyHcSV
Adriano Martins,155,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Adriano-Martins_286579_LeftFullBodyImage.png?itok=FHedY1Q1
Aiemann Zahabi,135,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/ZAHABI_AIEMANN_L_06-10.png?itok=6Btbq7OV
Ailin Perez,145,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-09/PEREZ_AILIN_L_09-03.png?itok=TCgXFbZj
Ailin Perez,135,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-09/PEREZ_AILIN_L_09-03.png?itok=TCgXFbZj
Aisling Daly,115,0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67171/profile-galery/fullbodyleft-picture/Aisling-Daly_501698_LeftFullBodyImage.png?VersionId=LzCLq2ctHFnBy9bJ73ZNwY1eAXlY7.u2&itok=lIIScuNI
Akbarh Arreola,155,1,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-08/Akbarh-Arreola_486122_LeftFullBodyImage.png?itok=_VP1ckPm
Akihiro Gono,170,1,https://i.ibb.co/Y0B2Gc5/fighter-shadow.png
