fighter,Knockdown,Significant_Strike_Percent,Takedown_Percent,Submission_Attempt,Ground_Control,win_by,No_of_rounds,Weight Division,Significant_Strikes_Landed,Significant_Strikes_Attempted,Total_Strikes_Landed,Total_Strikes_Attempted,Takedowns_Landed,Takedowns_Attempted,Ground_Strikes_Landed,time_fought,Gender
 Alatengheili,0.2267783633889763,-0.17151213594098738,-0.07159989794933953,-0.4646354552386844,-0.057856251598293613,-0.5388502198592083,-0.31285623842751903,-0.881958169650617,-0.19185135631039943,-0.05870485020372931,-0.15339838581403734,-0.003140284913177268,0.7449584446173728,1.0203678232510842,-0.4055422534709661,-0.06251827418838933,0.33839851745954763
 Aoriqileng,0.8951576140689284,0.8348244993976568,0.6670981661953238,-0.4646354552386844,0.062357679568427055,0.2542174584003003,-0.31285623842751903,-0.881958169650617,0.4446513382124098,0.06006179481423788,0.8092169025461732,0.41090331835631094,-0.04161951949492297,-0.04916167540260249,0.9282981850504036,0.04930733442441356,0.33839851745954763
 Maheshate,1.5635368647488805,0.2612126172546297,-0.753475034082875,-0.4646354552386844,-0.7676908927732153,1.047285136659809,-0.31285623842751903,-0.35590361151148714,-0.541406114777844,-0.33661879954577256,-0.7900888127609482,-0.5580440831093985,-0.6315529925791449,-0.49479896650830524,-0.5537467466400072,-1.0333678762359055,0.33839851745954763
 Mizuki,-0.4416008872909758,0.4121631125554263,0.6670981661953239,-0.4646354552386844,0.4401728918066918,-0.14231638072945405,-0.31285623842751903,-1.408012727789747,0.5698649830365691,0.3118470822523284,0.6424646478696013,0.46639369817593307,-0.041619519494922944,-0.22741659184488358,-0.4425933767632264,0.7258060576026923,-2.9550956886787803
 Rongzhu,0.5609679887289524,0.3215928153749483,0.6670981661953238,-0.4646354552386844,0.9124419071045228,0.4524843779651775,-0.31285623842751903,-0.35590361151148714,0.9455059175090466,0.6895250134094641,0.8357456703356277,0.7737250325615326,1.4332141632156319,0.842112906808803,1.8360507057107802,0.4138957856454941,0.33839851745954763
 Sumudaerji,0.2267783633889763,0.25114925090124324,0.19357376610259083,-0.4646354552386844,-0.34789621250847663,0.2542174584003003,-0.31285623842751903,-0.881958169650617,0.4342168678103966,0.25008842684298543,-0.016964722896842144,0.009665187352889348,-0.4349085015510709,-0.6730538829505863,0.4095824589587598,-0.06529080993912,0.33839851745954763
 Wulijiburen,-0.4416008872909758,-0.2520190667680789,0.46821791815637603,0.1315585515934725,0.49455538447735115,-0.14231638072945405,-0.31285623842751903,-0.6189308905810521,-0.6196646427929434,-0.5361467631759576,-0.5513299026558567,-0.5516413469763652,1.4332141632156317,1.5105688434673572,-0.2758633219480552,0.7258060576026923,0.33839851745954763
AJ Dobson,-0.4416008872909758,0.1505155873673788,0.8186259742249984,-0.4646354552386844,-0.10174387726233446,-0.14231638072945405,-0.31285623842751903,0.43317822569720765,0.6950786278607283,0.6443936883026365,0.4984513370125619,0.6115223838580217,0.35166946256122494,-0.22741659184488358,-0.2943888835941853,0.7258060576026923,0.33839851745954763
AJ Fletcher,-0.4416008872909758,0.04988192383351434,-0.753475034082875,-0.06717278401724647,-0.252488330630127,-0.14231638072945405,-0.31285623842751903,0.03863730709286026,0.08987934454395881,-0.0016968605951050246,-0.07002225847575143,-0.07570462775422149,-0.6315529925791449,-0.2274165918448836,-0.3314400068864456,-0.04218634534969793,0.33839851745954763
Aalon Cruz,-0.4416008872909758,-2.244565604738595,-0.753475034082875,-0.4646354552386844,-0.7218951094716075,1.047285136659809,-0.31285623842751903,-0.6189308905810521,-1.1205192220895803,-1.0777226644578881,-1.2221287453320664,-1.2303313770778974,-0.6315529925791449,-0.3611077791765944,-0.5537467466400072,-1.513016561112308,0.33839851745954763
Aaron Phillips,-0.4416008872909758,0.3517829144351077,-0.18524575397159546,-0.06717278401724647,-0.06930519742369556,-0.14231638072945405,-0.31285623842751903,-0.881958169650617,-0.5153199387728108,-0.6715407384964401,1.1503010598391612,0.37675539231346655,-0.041619519494923006,-0.22741659184488358,-0.2943888835941853,0.30900151640951784,0.33839851745954763
Aaron Riley,-0.4416008872909758,-1.09734184045254,-0.4030669780142526,-0.4646354552386844,-0.18379465567771522,-0.9353840589889626,-0.31285623842751903,-0.35590361151148714,-0.28576158992851886,0.3593537402595153,-0.024544370836686296,0.4023663368455998,-0.041619519494923006,-0.049161675402602446,-0.4425933767632264,0.17129890745656218,0.33839851745954763
Aaron Rosa,-0.4416008872909758,-0.7350606517306283,-0.753475034082875,-0.4646354552386844,-0.6532014345191958,0.25421745840030036,-0.31285623842751903,2.537396458253727,0.22552745977013122,0.1930804372343611,1.8400490223649815,1.2261850526292208,-0.6315529925791449,-0.6730538829505863,-0.5537467466400072,-0.18543402580411483,0.33839851745954763
Aaron Simpson,0.8951576140689284,1.2172324208263419,0.5913342621804865,-0.06717278401724647,0.7969983700317197,-0.5388502198592083,-0.31285623842751903,0.43317822569720765,0.21509298936811796,-0.24398081643175817,0.43781415349380853,0.0011282058421783136,0.744958444617373,1.0203678232510842,1.1876560480962255,0.19810008638029183,0.33839851745954763
Aaron Wilkinson,-0.4416008872909758,-2.727607189701144,2.0876713664735225,-0.4646354552386844,-0.4013246263603525,-0.14231638072945405,-0.31285623842751903,-0.35590361151148714,-1.15182263329562,-1.1703606475719024,-1.2448676891515988,-1.3135669468073305,-0.041619519494922944,-0.49479896650830524,-0.5537467466400072,-1.4284542207150233,0.33839851745954763
Abdul Razak Alhassan,0.2267783633889763,0.23102251819447037,-0.043188433943775584,-0.06717278401724647,0.014653738629252159,-0.5388502198592083,-0.31285623842751903,0.43317822569720765,-0.37967182354663825,-0.47201277486625526,-0.5172214869265578,-0.5921920091522429,-0.041619519494923006,-0.2274165918448836,0.15022459591293794,-0.24180891940230476,0.33839851745954763
Abdul-Kerim Edilov,-0.4416008872909758,0.9555848956382942,2.0876713664735225,0.7277525584256294,1.1271096413308097,1.047285136659809,-0.31285623842751903,0.9592327838363376,1.2585400295694447,0.5968870302954498,2.165973883778281,1.3627767568005982,0.5483139535892989,-0.22741659184488358,6.337762185720403,-0.5162899587246392,0.33839851745954763
Abel Trujillo,-0.4416008872909758,-0.5740467900764451,0.5345113341693586,-0.4646354552386844,0.14059214270867376,-0.14231638072945405,-0.31285623842751903,-0.35590361151148714,-0.36923735314462497,-0.21547682162744605,-0.47932324722733693,-0.3403510545862656,0.35166946256122494,0.4856030739242408,-0.3314400068864456,0.4938372331248946,0.33839851745954763
Abner Lloveras,-0.4416008872909758,0.2310225181944703,-0.18524575397159543,-0.4646354552386844,0.21119397529865255,-0.14231638072945405,-0.31285623842751903,-0.35590361151148714,1.7906980200721212,1.509014864033438,1.0062877489821218,1.157889200543532,0.5483139535892989,1.9116424054624896,-0.5537467466400072,0.7258060576026923,0.33839851745954763
Abu Azaitar,-0.4416008872909758,-0.23189233406130605,0.6670981661953238,-0.4646354552386844,-0.0941112467120665,0.2542174584003003,-0.31285623842751903,0.43317822569720765,0.9037680359009935,0.9674389627515074,1.5141241609516818,1.4054616643541538,-0.04161951949492297,-0.04916167540260249,0.18727571920519823,0.7221093432683848,0.33839851745954763
Abubakar Nurmagomedov,-0.4416008872909758,0.5329235087960636,-0.21365721797715942,-0.4646354552386844,1.3484559272885808,-0.9353840589889626,-0.31285623842751903,0.03863730709286026,0.19422404856409145,-0.039702187000854594,0.4529734493734969,0.14198840076891142,-0.041619519494922944,0.7529854485876625,-0.516695623347747,0.7258060576026923,0.33839851745954763
Abus Magomedov,0.2267783633889763,0.9153314302247484,-0.27995063399014203,-0.4646354552386844,-0.7199869518340405,0.6507512975300547,0.8568812651206358,0.43317822569720765,-0.19185135631039948,-0.16321949781954045,-0.5399604307460905,-0.39584143440588765,-0.4349085015510709,-0.5839264247294458,-0.4796445000554867,-0.4026159929446826,0.33839851745954763
Adam Cella,-0.4416008872909758,-1.7615240197760453,-0.753475034082875,-0.4646354552386844,-0.7676908927732153,-0.14231638072945405,-0.31285623842751903,0.43317822569720765,-1.0892158108835404,-1.0135886761481858,-1.1539119138734688,-1.147095807348464,-0.6315529925791449,-0.7621813411717269,-0.5537467466400072,-1.239921789665339,0.33839851745954763
Adam Fugitt,-0.4416008872909758,0.3115294490215619,-0.10001136195490351,-0.4646354552386844,-0.2124170202412201,0.6507512975300547,-0.31285623842751903,0.03863730709286026,-0.17098241550637294,-0.3579967956490067,-0.34288958431014177,-0.4342578512040876,0.35166946256122494,0.5747305321453814,-0.3314400068864456,-0.557877994985599,0.33839851745954763
Adam Milstead,-0.4416008872909758,0.09013538924706012,-0.753475034082875,-0.4646354552386844,-0.7295277400218755,-0.142316380729454,-0.31285623842751903,2.537396458253727,0.16292063735805162,0.09806712121998741,-0.08518155435543974,-0.0543621739774438,-0.6315529925791449,-0.7621813411717269,-0.4055422534709661,-0.27230681266034196,0.33839851745954763
Adam Wieczorek,-0.4416008872909758,-0.5136665919561264,-0.27995063399014203,-0.06717278401724647,-0.26012096118039496,-0.14231638072945405,-0.31285623842751903,2.537396458253727,-0.5048854683707974,-0.4245061168590683,-0.3504692322499859,-0.3787674713844655,-0.4349085015510709,-0.49479896650830524,-0.2943888835941853,0.2812761589022113,0.33839851745954763
Adam Yandiev,-0.4416008872909758,-2.2445656047385945,-0.753475034082875,-0.4646354552386844,-0.7676908927732153,-0.14231638072945405,-0.31285623842751903,0.43317822569720765,-1.12051922208958,-1.0135886761481858,-1.2221287453320664,-1.1727067518805974,-0.6315529925791449,-0.7621813411717269,-0.5537467466400072,-0.8212688913050108,0.33839851745954763
Adlan Amagov,0.5609679887289524,0.14045222101399235,0.09886888608404432,-0.4646354552386844,0.016561896266819143,0.4524843779651775,-0.31285623842751903,0.03863730709286026,-0.3222822363355653,-0.2938628073393044,-0.3353099363702976,-0.3531565268523322,1.138247426673521,0.7084217194770922,-0.05355658219449355,-0.27230681266034196,0.33839851745954763
Adrian Yanez,0.2267783633889763,-0.21176560135453312,-0.753475034082875,-0.4646354552386844,-0.7409766858472775,1.047285136659809,-0.31285623842751903,-0.881958169650617,-0.31706500113455865,-0.2677341454353516,-0.6309162060242205,-0.49401672177906536,-0.6315529925791449,-0.7621813411717269,-0.3684911301787059,-0.9820759648473886,0.33839851745954763
Adriano Martins,0.2267783633889763,-0.05075173970035008,-0.753475034082875,-0.06717278401724647,-0.7486093163975455,-0.142316380729454,-0.31285623842751903,-0.35590361151148714,-0.5987957019889169,-0.6097820830870972,-0.8431463483398574,-0.8056165469200204,-0.6315529925791449,-0.7621813411717269,-0.516695623347747,-0.23996056223515097,0.33839851745954763
Aiemann Zahabi,0.8951576140689284,1.1769789554127958,-0.753475034082875,-0.4646354552386844,-0.7428848434848444,0.6507512975300547,-0.31285623842751903,-0.881958169650617,-0.44227864595871785,-0.5955300856849411,-0.7294516292421948,-0.7970795654093091,-0.6315529925791449,-0.7621813411717269,-0.4055422534709661,-0.7075949255250541,0.33839851745954763
Ailin Perez,-0.4416008872909758,0.4926700433825178,0.4208654781471028,-0.4646354552386844,1.722454824251712,-0.14231638072945405,-0.31285623842751903,-0.6189308905810521,0.0794448741419455,-0.17747149522169656,0.9608098613430567,0.5133470964848441,1.9248253907858166,1.5551325725779277,1.78047402077239,0.44300741102816593,-2.9550956886787803
Aisling Daly,-0.4416008872909758,0.452416577968972,0.4776884061582307,0.33028988720419145,1.6480366763865992,-0.14231638072945405,-0.31285623842751903,-1.408012727789747,-0.08750665229026676,-0.2534821480331955,0.7864779587266407,0.278580104940289,0.35166946256122494,0.3073481574819597,1.5952184043110884,0.164829657371524,-2.9550956886787803
Akbarh Arreola,0.8951576140689284,0.13038885466060587,0.19357376610259083,-0.06717278401724647,-0.45475304021222834,-0.14231638072945405,-0.31285623842751903,-0.35590361151148714,-0.45271311636073114,-0.5147687670727235,-0.28225240079138836,-0.4385263419594432,-0.4349085015510709,-0.6730538829505863,0.18727571920519823,-0.27970024132895693,0.33839851745954763
Akihiro Gono,0.2267783633889763,0.2511492509012432,0.9038603662416902,-0.06717278401724647,-0.11319282308773643,-0.9353840589889626,-0.31285623842751903,0.03863730709286026,-0.21272029711442597,-0.3722487930511628,-0.37320817606951845,-0.48547974026835417,0.15502497153315098,-0.31654405006602415,-0.2943888835941853,0.355210445588362,0.33839851745954763
Akira Corassani,-0.4416008872909758,-0.6143002554899909,-0.753475034082875,-0.4646354552386844,-0.7218951094716074,1.047285136659809,-0.31285623842751903,-0.6189308905810521,-0.682271465205023,-0.5860287540835039,-0.8962038839187666,-0.7842740931432425,-0.6315529925791449,-0.6730538829505863,-0.5537467466400072,-1.0865081447915763,0.33839851745954763
Al Iaquinta,-0.4416008872909758,-0.6344269881967638,-0.753475034082875,-0.4646354552386844,-0.7218951094716074,0.2542174584003003,0.8568812651206358,-0.35590361151148714,0.27769981178019754,0.5683830354911376,-0.19887627345310244,0.2529691604081557,-0.6315529925791449,-0.04916167540260249,-0.5537467466400072,0.5825583771482753,0.33839851745954763
Alan Baudot,0.2267783633889763,0.11026212195383296,-0.753475034082875,-0.4646354552386844,-0.525354872802207,0.6507512975300547,-0.31285623842751903,2.537396458253727,-0.03533430028020046,-0.2629834796346329,-0.3201506404906092,-0.43425785120408755,-0.6315529925791449,-0.7621813411717269,0.0020201027438968566,-0.4026159929446825,0.33839851745954763
Alan Belcher,-0.4416008872909758,-0.8356943152644926,-0.753475034082875,0.7277525584256294,-0.12464176891313838,0.2542174584003003,-0.31285623842751903,0.43317822569720765,-0.5779267611848903,-0.1632194978195405,-0.6915533895429741,-0.32327709156484336,-0.6315529925791449,-0.49479896650830524,0.18727571920519823,0.10568222802260345,0.33839851745954763
Alan Jouban,0.8951576140689285,-0.13125867052744167,-0.27995063399014203,0.33028988720419133,-0.6589259074318967,-0.5388502198592083,-0.31285623842751903,0.03863730709286026,1.6654843752479618,1.5327681930370314,0.8167965504860173,1.1237412745006876,-0.4349085015510709,-0.49479896650830524,-0.3314400068864456,0.31731912366170983,0.33839851745954763
Alan Omer,-0.4416008872909758,0.5933037069163822,0.4256007221480301,-0.4646354552386844,0.3428568522907751,-1.331917898118717,-0.31285623842751903,-0.6189308905810521,0.3037859877852307,0.00542913810597298,0.5060309849524061,0.1910760444555002,0.253347217047188,0.1736569701502489,0.3354802123742393,0.4499387504049926,0.33839851745954763
Alan Patrick,-0.4416008872909758,-0.45328639383580777,-0.6019472260532005,-0.4646354552386844,-0.5234467151646401,0.6507512975300547,-0.31285623842751903,-0.35590361151148714,-0.46314758676274437,-0.338994132446132,-0.524801134866402,-0.429989360448732,-0.4349085015510709,0.5747305321453814,-0.516695623347747,0.2858970518200958,0.33839851745954763
Alatengheili,-0.4416008872909758,-0.8960745133848113,0.6670981661953238,-0.4646354552386844,-0.5119977693392381,-0.14231638072945405,-0.31285623842751903,-0.881958169650617,0.2359619301721445,0.881926978338571,-0.14581873787419317,0.6072538931026662,0.15502497153315098,-0.22741659184488358,-0.3314400068864456,0.7258060576026923,0.33839851745954763
Albert Cheng,-0.4416008872909758,-0.25201906676807895,-0.753475034082875,-0.4646354552386844,-0.7333440552970094,-0.14231638072945405,-0.31285623842751903,0.03863730709286026,-0.995305577265421,-1.0135886761481858,-1.1311729700539361,-1.1727067518805974,-0.6315529925791449,-0.49479896650830524,-0.5537467466400072,-0.9377153928356982,0.33839851745954763
Albert Duraev,-0.4416008872909758,-0.7954408498509468,0.5534523101730681,-0.4646354552386844,0.04136794555519006,-0.9353840589889626,-0.31285623842751903,0.43317822569720765,-0.25445817872247906,0.003053805205613621,-0.3353099363702976,-0.037288210956021604,0.35166946256122494,0.4856030739242408,-0.14618439042514422,0.15743622870290896,0.33839851745954763
Albert Morales,-0.4416008872909758,-0.7551873844374012,0.1935737661025908,-0.4646354552386844,-0.0006115224712837838,-0.14231638072945405,-0.31285623842751903,-0.881958169650617,0.15248616695603834,0.5588817038897003,0.28622119469692503,0.7011606897204882,-0.4349085015510709,-0.5839264247294458,-0.10913326713288396,0.31269823074382536,0.33839851745954763
Albert Tumenov,-0.4416008872909758,-0.050751739700350074,-0.753475034082875,-0.4646354552386844,-0.7352522129345763,-0.9353840589889627,-0.31285623842751903,0.03863730709286026,0.21509298936811802,0.3260990796544845,-0.22919486521247912,0.0523500949064449,-0.6315529925791449,-0.5839264247294458,-0.5537467466400072,0.24153647980840534,0.33839851745954763
Alberto Crane,0.5609679887289524,-0.2822091658282383,-0.753475034082875,2.5163345789221,0.005112950441417241,1.047285136659809,-0.31285623842751903,-0.35590361151148714,-1.0266089884714609,-0.9565806865395615,-0.949261419497676,-0.9934301401556644,-0.6315529925791449,0.7084217194770922,-0.5537467466400072,-0.20992475826890228,0.33839851745954763
Alberto Mina,0.8951576140689284,-0.795440849850947,0.5060998701637945,-0.4646354552386844,-0.3517125277836107,-0.5388502198592083,-0.31285623842751903,0.03863730709286026,-0.1396790043003331,0.1360724476257369,-0.28225240079138836,0.05661858566180048,0.35166946256122494,1.1986227396933653,-0.10913326713288396,0.24246065839198225,0.33839851745954763
Alberto Uda,-0.4416008872909758,0.26121261725462963,0.6670981661953239,-0.4646354552386844,0.07666886185017946,0.4524843779651775,-0.31285623842751903,0.43317822569720765,-0.854440226838242,-0.9280766917352494,-0.6877635655730518,-0.8973890981601647,-0.041619519494922944,-0.22741659184488358,-0.3314400068864456,-0.8878097493225463,0.33839851745954763
